Subject,SIZE_CATEGORY,Metric,mean_codon,mean_cpp,mean_python,codon_vs_cpp,codon_vs_python
float,small,mean_execution_time,5.616702911111111,4.684499842857143,82.51045221,cpp<codon,codon<python
mandelbrot,large,mean_execution_time,17.2493104625,16.118897366666666,415.3097558428571,cpp<codon,codon<python
mandelbrot,medium,mean_execution_time,12.04807995,11.3383842875,273.5000411444445,cpp<codon,codon<python
mandelbrot,small,mean_execution_time,6.82824118,7.376149911111111,124.7886848,codon<cpp,codon<python
nbody,large,mean_execution_time,20.354064528571428,16.865899533333334,421.63067771,cpp<codon,codon<python
nbody,medium,mean_execution_time,10.77123587,9.515921725,151.7277463,cpp<codon,codon<python
nbody,small,mean_execution_time,5.394113428571428,4.621691175,61.18858396,cpp<codon,codon<python
nsieve,large,mean_execution_time,46.7514359,53.1707869625,762.5563059125,codon<cpp,codon<python
nsieve,medium,mean_execution_time,23.304078957142856,26.2252695875,363.9240919857143,codon<cpp,codon<python
nsieve,small,mean_execution_time,12.179878475,13.198473033333334,173.85527781,codon<cpp,codon<python
set_partition,large,mean_execution_time,109.95224443333332,117.95681898,591.5540973,codon<cpp,codon<python
set_partition,medium,mean_execution_time,17.237983957142855,18.12192162,84.82099998888889,codon<cpp,codon<python
set_partition,small,mean_execution_time,4.4106729,4.389515666666666,14.32006758,cpp<codon,codon<python
spectral_norm,large,mean_execution_time,10.794861642857144,10.57325848888889,662.69953836,cpp<codon,codon<python
spectral_norm,medium,mean_execution_time,6.3135104625,5.912338725,294.58650878888886,cpp<codon,codon<python
spectral_norm,small,mean_execution_time,5.1990132125,4.885700555555555,238.68969145714289,cpp<codon,codon<python
taq,large,mean_execution_time,10.108439825,10.208329466666669,368.50518523,codon<cpp,codon<python
taq,medium,mean_execution_time,7.743720077777778,9.7422574125,191.33430645,codon<cpp,codon<python
taq,small,mean_execution_time,5.8572864625,7.99943653,58.65813309,codon<cpp,codon<python
binary_trees,large,mean_mem_usage,0.4458038888888889,0.394928375,1.1105642857142857,cpp<codon,codon<python
binary_trees,medium,mean_mem_usage,0.202469,0.193462,0.5219261666666667,cpp<codon,codon<python
binary_trees,small,mean_mem_usage,0.107692,0.0928571,0.247631,cpp<codon,codon<python
fasta,large,mean_mem_usage,0,0,0,cpp<codon,python<codon
fasta,medium,mean_mem_usage,0,0,0,cpp<codon,python<codon
fasta,small,mean_mem_usage,0,0,0,cpp<codon,python<codon
float,large,mean_mem_usage,7.2904977777777775,1.9115277777777775,47.23667777777778,cpp<codon,codon<python
float,medium,mean_mem_usage,5.76989125,1.47266,38.89815,cpp<codon,codon<python
float,small,mean_mem_usage,3.902492222222222,1.017332857142857,24.3706,cpp<codon,codon<python
mandelbrot,large,mean_mem_usage,0.09928185,0,0.0999739,cpp<codon,codon<python
mandelbrot,medium,mean_mem_usage,0.03958648,0,0.09995997777777778,cpp<codon,codon<python
mandelbrot,small,mean_mem_usage,0,0,0,cpp<codon,python<codon
nbody,large,mean_mem_usage,0,0,0,cpp<codon,python<codon
nbody,medium,mean_mem_usage,0,0,0,cpp<codon,python<codon
nbody,small,mean_mem_usage,0,0,0,cpp<codon,python<codon
nsieve,large,mean_mem_usage,4.085197142857143,0.399142375,23.627725,cpp<codon,codon<python
nsieve,medium,mean_mem_usage,1.8842157142857143,0.19908949999999995,11.832814285714283,cpp<codon,codon<python
nsieve,small,mean_mem_usage,0.890012625,0.0990033,5.901126,cpp<codon,codon<python
set_partition,large,mean_mem_usage,0,0,0,cpp<codon,python<codon
set_partition,medium,mean_mem_usage,0,0,0,cpp<codon,python<codon
set_partition,small,mean_mem_usage,0,0,0,cpp<codon,python<codon
spectral_norm,large,mean_mem_usage,0,0,0,cpp<codon,python<codon
spectral_norm,medium,mean_mem_usage,0,0,0,cpp<codon,python<codon
spectral_norm,small,mean_mem_usage,0,0,0,cpp<codon,python<codon
taq,large,mean_mem_usage,0.9024075,0.3226692222222222,3.753327,cpp<codon,codon<python
taq,medium,mean_mem_usage,0.6827417777777778,0.231770625,2.854092,cpp<codon,codon<python
taq,small,mean_mem_usage,0.6336175000000001,0.1216383,2.050944,cpp<codon,codon<python
