Method1,Method2,Metric,Size,Test_Type,P_Value,Decision,Subject
codon,cpp,energy_consumption,small,Wilcoxon,0.148989898989899,Fail to reject H0,binary_trees
codon,python,energy_consumption,medium,Wilcoxon,0.00216450216450216,Reject H0,binary_trees
codon,cpp,energy_consumption,medium,Wilcoxon,0.428571428571429,Fail to reject H0,binary_trees
codon,python,energy_consumption,large,Wilcoxon,1.7482517482517e-4,Reject H0,binary_trees
codon,cpp,energy_consumption,large,Wilcoxon,8.22706705059646e-5,Reject H0,binary_trees
codon,python,energy_consumption,small,Wilcoxon,8.22706705059646e-5,Reject H0,fasta
codon,cpp,energy_consumption,small,Wilcoxon,4.11353352529823e-5,Reject H0,fasta
codon,python,energy_consumption,medium,Wilcoxon,1.0283833813245e-4,Reject H0,fasta
codon,cpp,energy_consumption,medium,Wilcoxon,1.0283833813245e-4,Reject H0,fasta
codon,python,energy_consumption,large,T-test,4.02349146921008e-20,Reject H0,fasta
codon,cpp,energy_consumption,large,Wilcoxon,4.57059280588692e-5,Reject H0,fasta
codon,python,energy_consumption,small,Wilcoxon,2.16501764489381e-5,Reject H0,float
codon,cpp,energy_consumption,small,Wilcoxon,1.7482517482517e-4,Reject H0,float
codon,python,energy_consumption,medium,Wilcoxon,6.6600066600066e-4,Reject H0,float
codon,cpp,energy_consumption,medium,Wilcoxon,1.5540015540015e-4,Reject H0,float
codon,python,energy_consumption,large,Wilcoxon,4.11353352529823e-5,Reject H0,float
codon,cpp,energy_consumption,large,T-test,3.9616182559055996e-19,Reject H0,float
codon,python,energy_consumption,small,Wilcoxon,6.6600066600066e-4,Reject H0,mandelbrot
codon,cpp,energy_consumption,small,Wilcoxon,0.297702297702298,Fail to reject H0,mandelbrot
codon,python,energy_consumption,medium,Wilcoxon,2.16501764489381e-5,Reject H0,mandelbrot
codon,cpp,energy_consumption,medium,T-test,0.0892766932919487,Fail to reject H0,mandelbrot
codon,python,energy_consumption,large,Wilcoxon,3.1080031080031e-4,Reject H0,mandelbrot
codon,cpp,energy_consumption,large,T-test,0.00244529886751901,Reject H0,mandelbrot
codon,python,energy_consumption,small,Wilcoxon,1.0283833813245e-4,Reject H0,nbody
codon,cpp,energy_consumption,small,Wilcoxon,3.1080031080031e-4,Reject H0,nbody
codon,python,energy_consumption,medium,Wilcoxon,2.16501764489381e-5,Reject H0,nbody
codon,cpp,energy_consumption,medium,Wilcoxon,0.315416609534257,Fail to reject H0,nbody
codon,python,energy_consumption,large,Wilcoxon,1.0283833813245e-4,Reject H0,nbody
codon,cpp,energy_consumption,large,T-test,1.2803515852588e-12,Reject H0,nbody
codon,python,energy_consumption,small,Wilcoxon,4.57059280588692e-5,Reject H0,nsieve
codon,cpp,energy_consumption,small,T-test,0.073716169686356,Fail to reject H0,nsieve
codon,python,energy_consumption,medium,Wilcoxon,5.8275058275058e-4,Reject H0,nsieve
codon,cpp,energy_consumption,medium,T-test,3.0651700514346e-5,Reject H0,nsieve
codon,python,energy_consumption,large,Wilcoxon,3.1080031080031e-4,Reject H0,nsieve
codon,cpp,energy_consumption,large,Wilcoxon,3.1080031080031e-4,Reject H0,nsieve
codon,python,energy_consumption,small,Wilcoxon,2.16501764489381e-5,Reject H0,set_partition
codon,cpp,energy_consumption,small,T-test,0.902031461488487,Fail to reject H0,set_partition
codon,python,energy_consumption,medium,Wilcoxon,1.7482517482517e-4,Reject H0,set_partition
codon,cpp,energy_consumption,medium,Wilcoxon,0.00252525252525253,Reject H0,set_partition
codon,python,energy_consumption,large,Wilcoxon,8.22706705059646e-5,Reject H0,set_partition
